Time Passed,Skips,Answered Questions,Correct Answers,Accuracy (%),Speed,Category,AI Comment
25.4,2,23,10,43.48,0.91,Moyen,"The candidate performed moderately well, answering 43.48% of the questions correctly. While they exhibited some strong analytical abilities, their 2% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
46.46,17,24,3,12.5,0.52,Très Faible,"The candidate's performance was below expectations, with only 12.5% of the questions answered correctly. The high skip rate of 17% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
43.47,36,40,33,82.5,0.92,Très Fort,"The candidate demonstrated excellent analytical skills, answering 82.5% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
55.59,20,15,12,80.0,0.27,Faible,"The candidate demonstrated limited performance, answering only 80.0% of the questions correctly. A high skip rate of 20% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
41.11,1,38,22,57.89,0.92,Moyen,"The candidate performed moderately well, answering 57.89% of the questions correctly. While they exhibited some strong analytical abilities, their 1% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
15.18,24,27,15,55.56,1.78,Moyen,"The candidate performed moderately well, answering 55.56% of the questions correctly. While they exhibited some strong analytical abilities, their 24% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
18.24,39,18,5,27.78,0.99,Faible,"The candidate demonstrated limited performance, answering only 27.78% of the questions correctly. A high skip rate of 39% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
40.7,26,38,19,50.0,0.93,Moyen,"The candidate performed moderately well, answering 50.0% of the questions correctly. While they exhibited some strong analytical abilities, their 26% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
27.22,19,32,7,21.88,1.18,Faible,"The candidate demonstrated limited performance, answering only 21.88% of the questions correctly. A high skip rate of 19% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
32.13,28,10,3,30.0,0.31,Faible,"The candidate demonstrated limited performance, answering only 30.0% of the questions correctly. A high skip rate of 28% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
30.05,23,16,0,0.0,0.53,Très Faible,"The candidate's performance was below expectations, with only 0.0% of the questions answered correctly. The high skip rate of 23% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
46.63,8,36,10,27.78,0.77,Faible,"The candidate demonstrated limited performance, answering only 27.78% of the questions correctly. A high skip rate of 8% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
55.97,3,39,29,74.36,0.7,Fort,"The candidate showed strong performance, answering 74.36% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 3% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
14.54,9,40,8,20.0,2.75,Très Faible,"The candidate's performance was below expectations, with only 20.0% of the questions answered correctly. The high skip rate of 9% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
27.72,15,15,11,73.33,0.54,Fort,"The candidate showed strong performance, answering 73.33% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 15% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
31.73,40,23,17,73.91,0.72,Fort,"The candidate showed strong performance, answering 73.91% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 40% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
37.99,1,39,5,12.82,1.03,Très Faible,"The candidate's performance was below expectations, with only 12.82% of the questions answered correctly. The high skip rate of 1% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
15.56,16,9,2,22.22,0.58,Faible,"The candidate demonstrated limited performance, answering only 22.22% of the questions correctly. A high skip rate of 16% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
24.01,2,5,2,40.0,0.21,Faible,"The candidate demonstrated limited performance, answering only 40.0% of the questions correctly. A high skip rate of 2% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
29.92,3,23,6,26.09,0.77,Faible,"The candidate demonstrated limited performance, answering only 26.09% of the questions correctly. A high skip rate of 3% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
59.2,6,18,18,100.0,0.3,Faible,"The candidate demonstrated limited performance, answering only 100.0% of the questions correctly. A high skip rate of 6% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
10.73,7,25,1,4.0,2.33,Très Faible,"The candidate's performance was below expectations, with only 4.0% of the questions answered correctly. The high skip rate of 7% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
38.27,26,7,5,71.43,0.18,Très Faible,"The candidate's performance was below expectations, with only 71.43% of the questions answered correctly. The high skip rate of 26% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
57.35,29,5,2,40.0,0.09,Très Faible,"The candidate's performance was below expectations, with only 40.0% of the questions answered correctly. The high skip rate of 29% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
36.79,33,28,3,10.71,0.76,Très Faible,"The candidate's performance was below expectations, with only 10.71% of the questions answered correctly. The high skip rate of 33% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
19.87,4,38,11,28.95,1.91,Faible,"The candidate demonstrated limited performance, answering only 28.95% of the questions correctly. A high skip rate of 4% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
55.19,6,9,9,100.0,0.16,Très Faible,"The candidate's performance was below expectations, with only 100.0% of the questions answered correctly. The high skip rate of 6% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
30.52,5,36,8,22.22,1.18,Faible,"The candidate demonstrated limited performance, answering only 22.22% of the questions correctly. A high skip rate of 5% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
50.59,14,16,6,37.5,0.32,Faible,"The candidate demonstrated limited performance, answering only 37.5% of the questions correctly. A high skip rate of 14% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
37.52,4,11,8,72.73,0.29,Faible,"The candidate demonstrated limited performance, answering only 72.73% of the questions correctly. A high skip rate of 4% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
33.09,18,18,7,38.89,0.54,Faible,"The candidate demonstrated limited performance, answering only 38.89% of the questions correctly. A high skip rate of 18% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
10.91,40,32,2,6.25,2.93,Très Faible,"The candidate's performance was below expectations, with only 6.25% of the questions answered correctly. The high skip rate of 40% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
57.73,15,35,11,31.43,0.61,Faible,"The candidate demonstrated limited performance, answering only 31.43% of the questions correctly. A high skip rate of 15% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
27.81,6,27,4,14.81,0.97,Très Faible,"The candidate's performance was below expectations, with only 14.81% of the questions answered correctly. The high skip rate of 6% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
26.0,29,13,12,92.31,0.5,Fort,"The candidate showed strong performance, answering 92.31% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 29% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
39.6,20,8,3,37.5,0.2,Très Faible,"The candidate's performance was below expectations, with only 37.5% of the questions answered correctly. The high skip rate of 20% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
17.14,23,23,20,86.96,1.34,Très Fort,"The candidate demonstrated excellent analytical skills, answering 86.96% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
24.24,10,39,6,15.38,1.61,Très Faible,"The candidate's performance was below expectations, with only 15.38% of the questions answered correctly. The high skip rate of 10% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
35.31,38,37,18,48.65,1.05,Moyen,"The candidate performed moderately well, answering 48.65% of the questions correctly. While they exhibited some strong analytical abilities, their 38% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
33.27,16,24,21,87.5,0.72,Très Fort,"The candidate demonstrated excellent analytical skills, answering 87.5% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
21.07,13,37,5,13.51,1.76,Très Faible,"The candidate's performance was below expectations, with only 13.51% of the questions answered correctly. The high skip rate of 13% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
38.43,24,36,33,91.67,0.94,Très Fort,"The candidate demonstrated excellent analytical skills, answering 91.67% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
23.32,24,40,22,55.0,1.72,Moyen,"The candidate performed moderately well, answering 55.0% of the questions correctly. While they exhibited some strong analytical abilities, their 24% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
42.24,2,15,6,40.0,0.36,Faible,"The candidate demonstrated limited performance, answering only 40.0% of the questions correctly. A high skip rate of 2% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
17.62,3,33,5,15.15,1.87,Très Faible,"The candidate's performance was below expectations, with only 15.15% of the questions answered correctly. The high skip rate of 3% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
13.69,10,9,2,22.22,0.66,Faible,"The candidate demonstrated limited performance, answering only 22.22% of the questions correctly. A high skip rate of 10% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
37.66,25,22,13,59.09,0.58,Moyen,"The candidate performed moderately well, answering 59.09% of the questions correctly. While they exhibited some strong analytical abilities, their 25% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
32.3,38,27,19,70.37,0.84,Fort,"The candidate showed strong performance, answering 70.37% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 38% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
11.49,4,39,20,51.28,3.39,Moyen,"The candidate performed moderately well, answering 51.28% of the questions correctly. While they exhibited some strong analytical abilities, their 4% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
44.42,33,20,16,80.0,0.45,Fort,"The candidate showed strong performance, answering 80.0% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 33% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
55.58,11,37,7,18.92,0.67,Très Faible,"The candidate's performance was below expectations, with only 18.92% of the questions answered correctly. The high skip rate of 11% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
43.37,14,5,4,80.0,0.12,Très Faible,"The candidate's performance was below expectations, with only 80.0% of the questions answered correctly. The high skip rate of 14% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
21.64,28,29,14,48.28,1.34,Moyen,"The candidate performed moderately well, answering 48.28% of the questions correctly. While they exhibited some strong analytical abilities, their 28% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
44.46,38,22,5,22.73,0.49,Faible,"The candidate demonstrated limited performance, answering only 22.73% of the questions correctly. A high skip rate of 38% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
26.21,37,14,1,7.14,0.53,Très Faible,"The candidate's performance was below expectations, with only 7.14% of the questions answered correctly. The high skip rate of 37% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
33.97,2,21,11,52.38,0.62,Moyen,"The candidate performed moderately well, answering 52.38% of the questions correctly. While they exhibited some strong analytical abilities, their 2% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
21.33,9,28,21,75.0,1.31,Fort,"The candidate showed strong performance, answering 75.0% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 9% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
40.3,13,34,34,100.0,0.84,Très Fort,"The candidate demonstrated excellent analytical skills, answering 100.0% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
36.12,36,23,5,21.74,0.64,Faible,"The candidate demonstrated limited performance, answering only 21.74% of the questions correctly. A high skip rate of 36% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
23.2,27,12,9,75.0,0.52,Fort,"The candidate showed strong performance, answering 75.0% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 27% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
51.99,36,22,6,27.27,0.42,Faible,"The candidate demonstrated limited performance, answering only 27.27% of the questions correctly. A high skip rate of 36% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
23.35,6,23,8,34.78,0.99,Faible,"The candidate demonstrated limited performance, answering only 34.78% of the questions correctly. A high skip rate of 6% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
17.32,2,24,18,75.0,1.39,Fort,"The candidate showed strong performance, answering 75.0% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 2% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
46.85,5,12,11,91.67,0.26,Faible,"The candidate demonstrated limited performance, answering only 91.67% of the questions correctly. A high skip rate of 5% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
57.95,32,37,20,54.05,0.64,Moyen,"The candidate performed moderately well, answering 54.05% of the questions correctly. While they exhibited some strong analytical abilities, their 32% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
24.8,27,16,4,25.0,0.65,Faible,"The candidate demonstrated limited performance, answering only 25.0% of the questions correctly. A high skip rate of 27% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
27.1,28,23,12,52.17,0.85,Moyen,"The candidate performed moderately well, answering 52.17% of the questions correctly. While they exhibited some strong analytical abilities, their 28% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
45.97,23,8,2,25.0,0.17,Très Faible,"The candidate's performance was below expectations, with only 25.0% of the questions answered correctly. The high skip rate of 23% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
54.17,40,28,15,53.57,0.52,Moyen,"The candidate performed moderately well, answering 53.57% of the questions correctly. While they exhibited some strong analytical abilities, their 40% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
41.52,32,20,10,50.0,0.48,Moyen,"The candidate performed moderately well, answering 50.0% of the questions correctly. While they exhibited some strong analytical abilities, their 32% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
22.77,38,32,27,84.38,1.41,Très Fort,"The candidate demonstrated excellent analytical skills, answering 84.38% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
57.24,7,29,1,3.45,0.51,Très Faible,"The candidate's performance was below expectations, with only 3.45% of the questions answered correctly. The high skip rate of 7% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
20.53,38,19,6,31.58,0.93,Faible,"The candidate demonstrated limited performance, answering only 31.58% of the questions correctly. A high skip rate of 38% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
27.36,37,18,10,55.56,0.66,Moyen,"The candidate performed moderately well, answering 55.56% of the questions correctly. While they exhibited some strong analytical abilities, their 37% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
57.57,15,38,33,86.84,0.66,Très Fort,"The candidate demonstrated excellent analytical skills, answering 86.84% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
35.41,22,21,2,9.52,0.59,Très Faible,"The candidate's performance was below expectations, with only 9.52% of the questions answered correctly. The high skip rate of 22% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
56.75,8,10,3,30.0,0.18,Très Faible,"The candidate's performance was below expectations, with only 30.0% of the questions answered correctly. The high skip rate of 8% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
57.63,16,8,5,62.5,0.14,Très Faible,"The candidate's performance was below expectations, with only 62.5% of the questions answered correctly. The high skip rate of 16% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
53.9,40,5,4,80.0,0.09,Très Faible,"The candidate's performance was below expectations, with only 80.0% of the questions answered correctly. The high skip rate of 40% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
59.7,40,31,22,70.97,0.52,Fort,"The candidate showed strong performance, answering 70.97% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 40% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
52.47,4,28,13,46.43,0.53,Moyen,"The candidate performed moderately well, answering 46.43% of the questions correctly. While they exhibited some strong analytical abilities, their 4% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
33.71,21,11,2,18.18,0.33,Très Faible,"The candidate's performance was below expectations, with only 18.18% of the questions answered correctly. The high skip rate of 21% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
50.57,14,26,11,42.31,0.51,Moyen,"The candidate performed moderately well, answering 42.31% of the questions correctly. While they exhibited some strong analytical abilities, their 14% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
42.34,6,8,7,87.5,0.19,Très Faible,"The candidate's performance was below expectations, with only 87.5% of the questions answered correctly. The high skip rate of 6% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
20.0,29,11,1,9.09,0.55,Très Faible,"The candidate's performance was below expectations, with only 9.09% of the questions answered correctly. The high skip rate of 29% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
18.6,5,34,15,44.12,1.83,Moyen,"The candidate performed moderately well, answering 44.12% of the questions correctly. While they exhibited some strong analytical abilities, their 5% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
54.34,13,40,1,2.5,0.74,Très Faible,"The candidate's performance was below expectations, with only 2.5% of the questions answered correctly. The high skip rate of 13% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
12.53,27,6,3,50.0,0.48,Moyen,"The candidate performed moderately well, answering 50.0% of the questions correctly. While they exhibited some strong analytical abilities, their 27% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
44.69,20,5,0,0.0,0.11,Très Faible,"The candidate's performance was below expectations, with only 0.0% of the questions answered correctly. The high skip rate of 20% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
34.7,3,6,3,50.0,0.17,Très Faible,"The candidate's performance was below expectations, with only 50.0% of the questions answered correctly. The high skip rate of 3% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
56.36,38,10,6,60.0,0.18,Très Faible,"The candidate's performance was below expectations, with only 60.0% of the questions answered correctly. The high skip rate of 38% points to difficulty with the test's complexity. Their slower-than-average pace suggests time pressure may have hindered their performance. A detailed assessment could help identify areas for improvement and strategies to overcome cognitive barriers."
52.95,9,37,29,78.38,0.7,Fort,"The candidate showed strong performance, answering 78.38% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 9% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
15.53,6,7,5,71.43,0.45,Fort,"The candidate showed strong performance, answering 71.43% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 6% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
51.4,19,36,9,25.0,0.7,Faible,"The candidate demonstrated limited performance, answering only 25.0% of the questions correctly. A high skip rate of 19% reflects uncertainty or indecision in handling complex questions. The completion time was slower than average, which may indicate difficulty or overthinking in some sections. Further training and focus on problem-solving strategies are recommended."
36.86,19,28,15,53.57,0.76,Moyen,"The candidate performed moderately well, answering 53.57% of the questions correctly. While they exhibited some strong analytical abilities, their 19% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
40.41,31,29,25,86.21,0.72,Très Fort,"The candidate demonstrated excellent analytical skills, answering 86.21% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
26.46,20,14,14,100.0,0.53,Très Fort,"The candidate demonstrated excellent analytical skills, answering 100.0% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
54.19,25,36,29,80.56,0.66,Très Fort,"The candidate demonstrated excellent analytical skills, answering 80.56% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
26.91,2,9,6,66.67,0.33,Moyen,"The candidate performed moderately well, answering 66.67% of the questions correctly. While they exhibited some strong analytical abilities, their 2% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
11.17,13,6,5,83.33,0.54,Très Fort,"The candidate demonstrated excellent analytical skills, answering 83.33% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
47.26,5,20,14,70.0,0.42,Fort,"The candidate showed strong performance, answering 70.0% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 5% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
33.95,30,26,21,80.77,0.77,Très Fort,"The candidate demonstrated excellent analytical skills, answering 80.77% of the questions correctly while maintaining a consistent pace throughout the test. Their speed and accuracy suggest strong cognitive abilities. Despite the challenging complexity of the test, they were able to finish most questions without hesitation."
14.05,37,7,3,42.86,0.5,Moyen,"The candidate performed moderately well, answering 42.86% of the questions correctly. While they exhibited some strong analytical abilities, their 37% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
46.92,5,15,15,100.0,0.32,Moyen,"The candidate performed moderately well, answering 100.0% of the questions correctly. While they exhibited some strong analytical abilities, their 5% skipped questions and a slower-than-average pace suggest a struggle with more complex questions. Time management could be improved to allow for a more thorough attempt at each question."
37.24,27,36,23,63.89,0.97,Fort,"The candidate showed strong performance, answering 63.89% of the questions correctly. They maintained a good pace with a solid understanding of most concepts. However, the higher-than-average skip rate of 27% suggests they faced challenges with some of the more difficult questions. A slightly longer completion time indicates a thoughtful but measured approach."
